dataset,split,image_id,image_path,label_path,img_exists,img_width,img_height,class_id,class_name,bbox_x_center,bbox_y_center,bbox_width,bbox_height,has_annotation
fall,train,-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b.txt,True,640,640,2.0,Sitting,0.509375,0.50390625,0.31640625,0.88125,True
fall,train,-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8.txt,True,640,640,2.0,Sitting,0.50625,0.50625,0.346875,0.871875,True
fall,train,-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4.txt,True,640,640,2.0,Sitting,0.50625,0.50703125,0.346875,0.8734375,True
fall,train,-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2.txt,True,640,640,2.0,Sitting,0.84140625,0.6796875,0.3171875,0.63984375,True
fall,train,-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29.txt,True,640,640,2.0,Sitting,0.615625,0.54140625,0.290625,0.78046875,True
fall,train,-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3.txt,True,640,640,2.0,Sitting,0.47578125,0.49921875,0.371875,0.75625,True
fall,train,-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4.txt,True,640,640,2.0,Sitting,0.509375,0.60390625,0.27109375,0.7921875,True
fall,train,-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957.txt,True,640,640,2.0,Sitting,0.55,0.59609375,0.271875,0.8078125,True
fall,train,-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346.txt,True,640,640,2.0,Sitting,0.66328125,0.528125,0.56328125,0.8203125,True
fall,train,-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97.txt,True,640,640,2.0,Sitting,0.54453125,0.53046875,0.696875,0.72421875,True
fall,train,-62-_jpg.rf.53ed19c2d8f74717692c56a8b7c0a902,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-62-_jpg.rf.53ed19c2d8f74717692c56a8b7c0a902.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-62-_jpg.rf.53ed19c2d8f74717692c56a8b7c0a902.txt,True,640,640,2.0,Sitting,0.46953125,0.53984375,0.859375,0.85390625,True
fall,train,-66-_jpg.rf.0413975624052e224a2ead6460150ef7,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-66-_jpg.rf.0413975624052e224a2ead6460150ef7.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-66-_jpg.rf.0413975624052e224a2ead6460150ef7.txt,True,640,640,2.0,Sitting,0.55625,0.51484375,0.8875,0.91171875,True
fall,train,-67-_jpg.rf.3591dbc895e92d4332ace033892f219e,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-67-_jpg.rf.3591dbc895e92d4332ace033892f219e.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-67-_jpg.rf.3591dbc895e92d4332ace033892f219e.txt,True,640,640,2.0,Sitting,0.44765625,0.5484375,0.515625,0.83515625,True
