dataset,split,image_id,image_path,label_path,img_exists,img_width,img_height,class_id,class_name,bbox_x_center,bbox_y_center,bbox_width,bbox_height,has_annotation,bbox_w_px,bbox_h_px,bbox_area_norm,aspect_ratio,is_tiny,is_giant,label_binary
fall,train,-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b.txt,True,640,640,2.0,Sitting,0.509375,0.50390625,0.31640625,0.88125,True,202.5,564.0,0.2788330078125,0.3590425525548891,False,False,normal
fall,train,-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8.txt,True,640,640,2.0,Sitting,0.50625,0.50625,0.346875,0.871875,True,222.0,558.0,0.302431640625,0.39784946165259955,False,False,normal
fall,train,-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4.txt,True,640,640,2.0,Sitting,0.50625,0.50703125,0.346875,0.8734375,True,222.0,559.0,0.3029736328125,0.39713774526451207,False,False,normal
fall,train,-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2.txt,True,640,640,2.0,Sitting,0.84140625,0.6796875,0.3171875,0.63984375,True,203.0,409.5,0.20295043945312502,0.4957264945159304,False,False,normal
fall,train,-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29.txt,True,640,640,2.0,Sitting,0.615625,0.54140625,0.290625,0.78046875,True,186.0,499.5,0.22682373046875004,0.37237237162688214,False,False,normal
fall,train,-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3.txt,True,640,640,2.0,Sitting,0.47578125,0.49921875,0.371875,0.75625,True,238.0,484.0,0.28123046875,0.49173553617410015,False,False,normal
fall,train,-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4.txt,True,640,640,2.0,Sitting,0.509375,0.60390625,0.27109375,0.7921875,True,173.5,507.0,0.21475708007812502,0.34220907230333514,False,False,normal
fall,train,-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957.txt,True,640,640,2.0,Sitting,0.55,0.59609375,0.271875,0.8078125,True,174.0,517.0,0.21962402343749998,0.3365570593103345,False,False,normal
fall,train,-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346.txt,True,640,640,2.0,Sitting,0.66328125,0.528125,0.56328125,0.8203125,True,360.5,525.0,0.46206665039062494,0.6866666653587301,False,False,normal
fall,train,-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\images\-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\human_fall\train\labels\-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97.txt,True,640,640,2.0,Sitting,0.54453125,0.53046875,0.696875,0.72421875,True,446.0,463.5,0.50468994140625,0.9622437951192151,False,False,normal
